seed,step,step_fraction,train_loss,gradient_norm,update_norm,capacity_select_loss,actual_full_response_cost,response_rank,row_space_rotation,history_path_length,current_capacity,current_capacity_rate,kernel_projector_drift_rate,source_capacity,source_capacity_rate,source_kernel_drift_rate,permuted_capacity,future_heldout_gain,mismatched_capacity_rate,mismatched_drift_rate
89841,12,0.5,6.108954906463623,0.2390550822019577,1.6326088905334473,10.368871688842773,0.010384812951087952,12,0.5838389465343014,10.069619417190552,0.024045944213867188,0.004422109648515824,0.0907723463512825,0.006997717751397027,0.001441801602331797,0.0,0.0019510057237413193,0.8233208656311035,0.00291510966126969,0.07885906138648595
89841,18,0.75,4.885141372680664,0.19463025033473969,1.5547449588775635,9.766815185546875,0.007991721853613853,12,0.8021865911685345,9.578540444374084,0.05223886171976725,0.0029433416990434125,0.08658936772889099,0.0074625809987386065,4.8531741348402954e-05,0.0,0.004025936126708984,0.7312312126159668,0.005360312933947622,0.07217376313435399
89842,12,0.5,5.518086910247803,0.34230899810791016,1.6699575185775757,9.647262573242188,0.00642006890848279,12,0.5203237931741274,10.234519720077515,0.1930866241455078,0.00291510966126969,0.07885906138648595,0.053474134869045675,-0.0035011682955070713,0.0,0.01354564560784234,1.9065403938293457,0.001872676393648935,0.08805755967621709
89842,18,0.75,3.549665927886963,0.3230828046798706,1.6271734237670898,8.638188362121582,0.007360709831118584,12,0.6655744634578459,9.94102954864502,0.2463736534118652,0.005360312933947622,0.07217376313435399,0.03362705972459581,-0.001996480852142227,0.0,0.016836245854695637,1.620220422744751,-0.007698519683593601,0.11341932430347261
89843,12,0.5,5.078520774841309,0.37114816904067993,1.574948787689209,7.982769966125488,0.008401806466281414,12,0.83014756264095,9.724270105361938,0.2759523391723633,0.001872676393648935,0.08805755967621709,0.07698256439632839,-0.009495134295445278,0.0,0.01932998498280843,0.8724489212036133,0.003745104448642167,0.10415938760138162
89843,18,0.75,3.3272886276245117,0.28484630584716797,1.495261549949646,6.572507858276367,0.011285488493740559,12,0.9922695689768131,9.276389956474304,0.20453786849975586,-0.007698519683593601,0.11341932430347261,0.02869462966918945,-0.005205466237804844,0.0,0.014522910118103026,1.204697608947754,0.005861351941847434,0.10150460277103232
89844,12,0.5,6.079829216003418,0.28272750973701477,1.676884412765503,9.992544174194336,0.011364122852683067,12,0.7401404049570619,10.213070511817932,0.1061544418334961,0.003745104448642167,0.10415938760138162,0.03627297613355848,-0.00012749185779405375,0.0,0.007446818881564669,1.3344635963439941,0.002303716257947245,0.07588819216093698
89844,18,0.75,4.269631385803223,0.27763840556144714,1.6495167016983032,9.270452499389648,0.011767021380364895,12,1.0219638682522045,10.028029322624207,0.1649322509765625,0.005861351941847434,0.10150460277103232,0.04442312982347277,0.000812737321332592,0.0,0.01147386762830946,1.489985466003418,0.004154210026204452,0.08748783571927692
89845,12,0.5,5.817742824554443,0.3091751039028168,1.6931811571121216,10.520721435546875,0.009295044466853142,12,0.5106502119723295,10.328190565109253,0.1008138656616211,0.002303716257947245,0.07588819216093698,0.047851244608561196,-0.00024339524917681553,0.0,0.006906535890367296,1.6131644248962402,9.44167472657272e-05,0.0923286045166764
89845,18,0.75,3.8866965770721436,0.33028027415275574,1.6891582012176514,9.929107666015625,0.0081088338047266,12,0.6901923841504222,10.150355815887451,0.1429805755615234,0.004154210026204452,0.08748783571927692,0.038657426834106445,-0.0009057631024189795,0.0,0.009659131368001301,1.820530891418457,-0.0022988749740189504,0.09256934213597903
89846,12,0.5,3.888434886932373,0.41769373416900635,1.617372751235962,9.799636840820312,0.01117039006203413,12,0.6883556115672372,10.019884705543518,0.15169429779052734,9.44167472657272e-05,0.0923286045166764,0.04178071022033691,-0.006550664170804158,0.0,0.010453436109754775,0.7178163528442383,0.005593124136905685,0.09646633954051276
89846,18,0.75,2.2804665565490723,0.2112811654806137,1.4284859895706177,9.281621932983398,0.005792815238237381,12,0.855250817764939,9.311033606529236,0.13028939565022787,-0.0022988749740189504,0.09256934213597903,0.01830829514397515,-0.0025209247510289347,0.0,0.00916963153415256,0.5732369422912598,0.006672600348855743,0.10458406861117658
89847,12,0.5,6.073835372924805,0.293321430683136,1.6879513263702393,9.84824275970459,0.00938620138913393,12,0.7190652010674319,10.248162269592285,0.19165921211242676,0.005593124136905685,0.09646633954051276,0.02682126892937554,-0.0010599444693478208,0.0,0.0134331120385064,1.619870662689209,0.00489749207043561,0.07829194850544002
89847,18,0.75,4.149862766265869,0.3304292857646942,1.6980983018875122,8.751136779785156,0.01014262530952692,12,0.9616368089836776,10.154293179512024,0.2594147523244222,0.006672600348855743,0.10458406861117658,0.037178754806518555,0.0010200105210711233,0.0,0.018571880128648546,1.5602836608886719,0.005585007309885351,0.08057270429868497
89848,12,0.5,6.64077091217041,0.23866908252239227,1.7214288711547852,11.084434509277344,0.006181506440043449,12,0.5067360550748997,10.469971895217896,0.051276604334513344,0.00489749207043561,0.07829194850544002,0.006847249137030707,0.0006539892566624894,0.0,0.003486792246500651,1.0343618392944336,0.0034916582258749432,0.09177880316029173
89848,18,0.75,5.093817710876465,0.24897873401641846,1.7235147953033447,10.737920761108398,0.006200520787388086,12,0.6893161903866409,10.332340478897095,0.10898280143737793,0.005585007309885351,0.08057270429868497,0.007628043492635091,7.556800486773433e-05,0.0,0.007698800828721788,1.1628074645996094,0.005712835848269729,0.0837599048993687
89849,12,0.5,6.734694480895996,0.20562085509300232,1.673762559890747,10.24923324584961,0.009506546892225742,12,0.8354581861187129,10.193391919136047,0.0744786262512207,0.0034916582258749432,0.09177880316029173,0.010233879089355469,-0.0008386079729809839,0.0,0.005180650287204319,0.9450540542602539,0.004172002472554962,0.08553691069858839
89849,18,0.75,5.404567241668701,0.22034284472465515,1.654749870300293,9.608667373657227,0.00941242091357708,12,0.8623157864269251,9.987881779670715,0.13153775533040363,0.005712835848269729,0.0837599048993687,0.018221219380696613,0.0007997031270032187,0.0,0.0094096130794949,1.0338797569274902,0.006401576467327441,0.0856254329344372
89850,12,0.5,6.540404796600342,0.21155275404453278,1.7104432582855225,9.239267349243164,0.007703875191509724,12,0.6206103885769295,10.437150001525879,0.17553329467773438,0.004172002472554962,0.08553691069858839,0.024084753460354272,-0.0011789053517758685,0.0,0.012100007798936632,0.4972076416015625,0.004992899543561197,0.08597639864803608
89850,18,0.75,5.065054416656494,0.2510340213775635,1.7032413482666016,8.091256141662598,0.009255843237042427,12,0.8516498533649203,10.222584247589111,0.24097394943237302,0.006401576467327441,0.0856254329344372,0.032758368386162647,0.0008484757587450506,0.0,0.01663467619154188,0.6256985664367676,0.0069768018388110635,0.09297768130672042
89851,12,0.5,4.883305072784424,0.3546026051044464,1.6338355541229248,8.58230209350586,0.014782353304326534,12,0.5547111066041881,10.06783652305603,0.1295208930969238,0.004992899543561197,0.08597639864803608,0.035826020770602755,-0.0028172354803202367,0.0,0.008877303865220811,1.6781535148620605,0.002271409145785127,0.08704222993005253
89851,18,0.75,3.1320934295654297,0.24275031685829163,1.5499472618103027,7.14646577835083,0.008028745651245117,12,0.7243451490520161,9.637566328048706,0.1967602835761176,0.0069768018388110635,0.09297768130672042,0.029231972164577905,-0.000684202669177368,0.0,0.014702611499362521,1.3460493087768555,0.0016393628996065335,0.08811872061661967
