seed,step,far_step,row_space_rotation,response_rank,update_norm,actual_full_response_cost,actual_heldout_auc,current_kernel_heldout_auc,source_kernel_heldout_auc,far_time_kernel_heldout_auc,permuted_kernel_heldout_auc,best_of_16_random_current_kernel_calibration_auc,best_of_16_random_current_kernel_heldout_auc,best_of_16_random_current_kernel_index,current_minus_actual_auc,current_minus_source_kernel_auc,current_minus_far_time_kernel_auc,current_minus_permuted_kernel_auc,current_minus_best_of_16_random_current_kernel_auc
91841,0,18,1.4447211794305842e-07,12,1.919734001159668,0.007596913259476423,0.002223067813449436,0.0271653069390191,0.0271653069390191,0.0020318561130099823,0.002230962117513021,0.012320518493652342,0.0026140213012695312,14,0.024942239125569664,0.0,0.025133450826009117,0.02493434482150608,0.024551285637749568
91841,6,18,0.4044293221503362,12,1.728515625,0.005241250153630972,0.002900653415256076,0.03989307085673014,0.005559550391303169,0.005498197343614366,0.0028458701239691842,0.007304191589355469,0.0038681030273437496,12,0.036992417441474065,0.034333520465426974,0.03439487351311578,0.03704720073276096,0.03602496782938639
91841,12,18,0.7115274963884908,12,1.6685799360275269,0.0052030012011528015,0.00463814205593533,0.06468812624613443,0.009088993072509766,0.01809300316704644,0.004624658160739474,0.007506370544433594,0.007289886474609374,3,0.0600499841901991,0.055599133173624665,0.04659512307908799,0.06006346808539496,0.057398239771525056
91841,18,6,0.9941711967825173,12,1.6353148221969604,0.007338490802794695,0.006438997056749132,0.09369850158691405,0.012864828109741211,0.012851715087890625,0.006425221761067708,0.008819580078125,0.010153770446777342,5,0.08725950453016491,0.08083367347717284,0.08084678649902342,0.08727327982584634,0.0835447311401367
91842,0,18,9.064022496787043e-08,12,1.9198753833770752,0.019487593322992325,0.020682228936089408,0.281717300415039,0.281717300415039,0.09777066442701551,0.020656241310967337,0.014068603515624998,0.0047168731689453125,11,0.2610350714789496,0.0,0.1839466359880235,0.2610610591040717,0.2770004272460937
91842,6,18,0.3255277209810927,12,1.675605297088623,0.013956315815448761,0.01495557361178928,0.2137341499328613,0.07451510429382324,0.07321781582302517,0.014943838119506836,0.01774978637695312,0.004178047180175781,2,0.19877857632107201,0.13921904563903806,0.14051633410983613,0.19879031181335446,0.20955610275268552
91842,12,18,0.5771080568924477,12,1.6001579761505127,0.01258781086653471,0.01622458299001058,0.22755010922749835,0.06427099969651964,0.07999707592858209,0.016174952189127602,0.009341239929199217,0.014581203460693358,3,0.21132552623748777,0.1632791095309787,0.14755303329891628,0.21137515703837076,0.212968905766805
91842,18,6,0.7318856877838655,12,1.4473841190338135,0.013012425042688847,0.014943612946404351,0.21392536163330075,0.029961135652330186,0.05917025936974419,0.014949719111124672,0.008909225463867188,0.00702381134033203,5,0.19898174868689641,0.18396422598097056,0.15475510226355657,0.1989756425221761,0.20690155029296872
91843,0,18,1.1250129990683128e-07,12,1.9197771549224854,0.010573801584541798,0.0,0.0,0.0,0.0,0.0,0.008913993835449219,-0.0005798339843749999,3,0.0,0.0,0.0,0.0,0.0005798339843749999
91843,6,18,0.36991962699844344,12,1.7906875610351562,0.011231101118028164,0.0,0.0,0.0,0.0,0.0,0.0069446563720703125,0.012743949890136719,10,0.0,0.0,0.0,0.0,-0.012743949890136719
91843,12,18,0.7077995868155865,12,1.7504830360412598,0.010726473294198513,0.0,0.0,0.0,0.0,0.0,0.008638381958007812,0.006350517272949219,2,0.0,0.0,0.0,0.0,-0.006350517272949219
91843,18,6,1.0336678013904335,12,1.7709828615188599,0.011156308464705944,0.0015275743272569443,0.019537925720214844,0.0025332503848605687,0.005289581086900499,0.0015366872151692708,0.009787559509277342,0.005778312683105468,3,0.0180103513929579,0.017004675335354276,0.014248344633314345,0.018001238505045574,0.013759613037109375
91844,0,18,1.0641557616804323e-07,12,1.919813632965088,0.005970817990601063,0.0,0.0,0.0,0.0,0.0,0.005470275878906249,0.009593963623046873,0,0.0,0.0,0.0,0.0,-0.009593963623046873
91844,6,18,0.49929309324074583,12,1.7422853708267212,0.00899437628686428,0.0,0.0,0.0,0.0,0.0,0.007079124450683594,-0.004700660705566406,13,0.0,0.0,0.0,0.0,0.004700660705566406
91844,12,18,0.7212970147865417,12,1.6956579685211182,0.009501682594418526,0.0,0.0,0.0,0.0,0.0,0.004914283752441406,0.007854461669921875,2,0.0,0.0,0.0,0.0,-0.007854461669921875
91844,18,6,0.8484113385640895,12,1.6775940656661987,0.008878611028194427,0.005135430230034721,0.0718545913696289,0.010103596581353081,0.01980267630683051,0.005128145217895508,0.004691123962402344,0.006922721862792969,8,0.06671916113959418,0.06175099478827582,0.052051915062798396,0.0667264461517334,0.06493186950683594
91845,0,18,1.4751396978812924e-07,12,1.919877529144287,0.02919963002204895,0.006630420684814452,0.08986473083496094,0.08986473083496094,0.02548103862338596,0.0066173341539171,0.008105278015136719,-0.000980377197265625,3,0.08323431015014648,0.0,0.06438369221157497,0.08324739668104383,0.09084510803222656
91845,6,18,0.4387069923388808,12,1.718553066253662,0.02043987065553665,0.006762610541449652,0.09706687927246094,0.06371625264485677,0.03351783752441406,0.006751881705390082,0.005087852478027343,-0.0063381195068359375,0,0.09030426873101129,0.03335062662760417,0.06354904174804688,0.09031499756707086,0.10340499877929688
91845,12,18,0.6631024529079956,12,1.6361333131790161,0.012401764281094074,0.00974726676940918,0.13881262143452963,0.03882267740037706,0.03869854079352485,0.009756697548760308,0.014249801635742188,0.009414672851562498,9,0.12906535466512045,0.09998994403415257,0.10011408064100479,0.12905592388576934,0.12939794858296713
91845,18,6,0.8083782236578011,12,1.5913169384002686,0.00663541816174984,0.014875226550632054,0.19361481401655412,0.014758255746629503,0.014704267183939615,0.01487338542938232,0.016145706176757812,0.004147529602050781,11,0.17873958746592206,0.1788565582699246,0.1789105468326145,0.1787414285871718,0.18946728441450333
91846,0,18,1.3493575361575819e-07,12,1.9198622703552246,0.01303962990641594,0.010414203008015951,0.14700794219970703,0.14700794219970703,0.020609219868977867,0.010421779420640733,0.013379096984863281,0.011711120605468748,8,0.13659373919169107,0.0,0.12639872233072916,0.1365861627790663,0.13529682159423828
91846,6,18,0.2709466975086002,12,1.74447762966156,0.013535928912460804,0.007452885309855142,0.10743141174316405,0.05909760793050129,0.029140445921156142,0.007483959197998047,0.011430740356445314,0.014835357666015623,11,0.0999785264333089,0.04833380381266276,0.07829096582200791,0.099947452545166,0.09259605407714842
91846,12,18,0.5342307145864996,12,1.713160753250122,0.012818844057619572,0.0086771912044949,0.1273374557495117,0.03434390491909451,0.06862545013427734,0.008660634358723957,0.007898330688476562,0.007603645324707031,3,0.1186602645450168,0.09299355083041719,0.05871200561523435,0.11867682139078774,0.11973381042480466
91846,18,6,0.7293838455245354,12,1.730443000793457,0.01197123248130083,0.01288718647427029,0.1835156679153442,0.025507516331142843,0.025669389300876193,0.012900855806138778,0.009505271911621094,-0.006185054779052734,3,0.17062848144107393,0.15800815158420137,0.157846278614468,0.17061481210920543,0.18970072269439694
91847,0,18,1.3244441773467654e-07,12,1.919862151145935,0.012859150767326355,0.006032201978895399,0.08510494232177733,0.08510494232177733,0.011939631568060981,0.006042056613498264,0.006625175476074218,0.013635635375976562,12,0.07907274034288193,0.0,0.07316531075371635,0.07906288570827906,0.07146930694580077
91847,6,18,0.2734671702510808,12,1.7507445812225342,0.00938189122825861,0.005930529700385198,0.08528232574462889,0.02929306030273437,0.02361668480767144,0.005937523312038845,0.0035200119018554688,0.006106376647949218,11,0.0793517960442437,0.05598926544189452,0.06166564093695745,0.07934480243259005,0.07917594909667967
91847,12,18,0.4706094488098805,12,1.6904135942459106,0.006870119832456112,0.006936709086100261,0.10137462615966797,0.020334164301554363,0.06647343105740017,0.006916681925455729,0.0036020278930664067,0.0011272430419921873,15,0.0944379170735677,0.0810404618581136,0.0349011951022678,0.09445794423421223,0.10024738311767578
91847,18,6,0.6189993236618402,12,1.6932694911956787,0.006284547038376331,0.008995625707838269,0.1320023536682129,0.017784542507595487,0.035856790012783475,0.008976830376519097,0.007299423217773438,0.003222942352294922,8,0.12300672796037462,0.11421781116061741,0.09614556365542942,0.12302552329169379,0.12877941131591797
91848,0,18,1.0950072449966577e-07,12,1.9198107719421387,0.00872646365314722,-0.0002603001064724392,-0.006894747416178386,-0.006894747416178386,-0.0012468232048882379,-0.00025359789530436194,0.014507293701171873,0.005916595458984376,5,-0.0066344473097059466,0.0,-0.005647924211290148,-0.0066411495208740234,-0.012811342875162762
91848,6,18,0.3475345923721907,12,1.7576326131820679,0.008951744996011257,-6.024042765299479e-05,-0.00493621826171875,-0.0012393527560763888,-0.0015355216132269963,-7.043944464789495e-05,0.007354736328125,-0.0091094970703125,14,-0.004875977834065755,-0.003696865505642361,-0.0034006966484917537,-0.004865778817070855,0.00417327880859375
91848,12,18,0.6070655614575076,12,1.6866117715835571,0.007151572499424219,0.0005129178365071614,0.004009246826171875,0.0006962617238362631,0.0014677842458089192,0.0005175537533230251,0.009746551513671873,0.006542205810546874,5,0.003496328989664714,0.003312985102335612,0.002541462580362956,0.00349169307284885,-0.002532958984374999
91848,18,6,0.8021321540750337,12,1.664841890335083,0.005770092364400625,0.0011404355367024739,0.013626972834269205,0.001966820822821723,0.0018631087409125432,0.001152674357096354,0.005710601806640625,0.004196166992187499,15,0.01248653729756673,0.011660152011447482,0.011763864093356662,0.012474298477172852,0.009430805842081707
