seed,candidate,direction_cosine,active_residual_ratio,transverse_response_gain,transverse_gain_contrast,finest_finite_over_jvp,maximum_jvp_additivity_error
76742,True,0.9999915719375978,1227.8544260351969,92.24107002725911,310416.0119741763,0.9999980750973714,6.796811735824618e-14
76743,True,0.999992774450803,1193.0519637824455,86.74227725116309,358477.007118697,0.9999988328725722,5.2040824896688594e-14
76744,True,0.9999895203387026,1221.0208855144847,91.24458730945952,301660.35576119303,0.9999986449681613,8.428981885189029e-14
76745,True,0.9999895418183715,1504.4711843322834,87.04064485450726,425602.6235433097,0.9999960917190369,7.988251596718544e-14
76746,True,0.9999916432696279,1906.8517131925091,106.46800117777332,454928.385463695,0.9999984434115184,6.199599752226753e-14
76747,True,0.9999806379212088,2115.946957557445,94.15015961574474,369504.5622017154,0.9999954497654672,4.2882065271578995e-14
76748,True,0.9999850677244504,1529.6020978862807,82.93901914245909,248603.5158948445,0.9999979667378371,3.805789109216039e-14
76749,True,0.9999938864100774,1641.8293423178252,87.39772061925858,526701.9293151043,1.000003563337293,4.9046848260888995e-14
76750,True,0.999985377811665,1646.6838336731203,83.63588478791593,372521.66856936726,0.9999988329813112,5.809643471793641e-14
76751,True,0.9999876353364087,1258.994136287785,84.40385972983708,253683.49093330733,0.9999967378131732,4.169744631166582e-14
76752,True,0.9999925775671521,1243.3917395593076,91.87078574959031,321403.54019572877,0.9999909779549556,4.813064011399953e-14
76753,True,0.9999879675226675,1078.9735457175736,76.4420173114881,283152.24358989176,0.9999980964173577,4.309763228800956e-14
76754,True,0.9999904301278262,1705.6376298739656,107.7348183429132,419825.05103320966,0.9999973433162688,3.0203682347546644e-14
76755,True,0.9999882760147298,1389.4864787796482,88.97187866023792,326926.90120167856,0.9999982248277544,5.767571913138788e-14
76756,True,0.9999912588451293,1184.5950739340874,91.35431093288767,259226.06284091942,0.9999969859621266,6.725133903397355e-14
76757,True,0.9999926203287,1486.201389478466,96.64085792609791,356599.40256577,0.9999955196642454,4.4671630237217906e-14
