seed,step,row_space_rotation,update_norm,actual_full_response_cost,actual_heldout_auc,current_kernel_heldout_auc,source_kernel_heldout_auc,far_time_kernel_heldout_auc,permuted_kernel_heldout_auc,current_minus_actual_auc,current_minus_source_kernel_auc,current_minus_far_time_kernel_auc,current_minus_permuted_kernel_auc
85741,0,6.664001874625058e-08,0.06902758777141571,0.18706192495290938,0.0007471621831301147,0.0038208390582361584,0.0038208390582361584,0.0025792643704891953,0.0007503262069988025,0.0030736768751060436,0.0,0.0012415746877469632,0.003070512851237356
85741,4,0.4377256400347942,0.043324295431375504,0.11386144554144022,0.0,0.0005716512453869393,0.0004214694718200968,0.0005543118228429931,0.0,0.0005716512453869393,0.00015018177356684252,1.7339422543946235e-05,0.0005716512453869393
85741,8,0.6431655994450728,0.032179392874240875,0.052366170396835235,0.0001833073467222156,0.0007107158966800364,0.00039200587614421356,0.0006704002967373353,0.00017839528071733921,0.0005274085499578209,0.00031871002053582287,4.031559994270117e-05,0.0005323206159626973
85741,12,0.6326505409688735,0.03091607429087162,0.05768934191550587,0.0005019969391201473,0.0016225675509680126,0.0010442047069718597,0.0013160960435296563,0.0004981797481557131,0.0011205706118478653,0.0005783628439961529,0.0003064715074383563,0.0011243878028122994
85741,16,0.5319938844364105,0.02916533872485161,0.038984618239493465,0.00017621404113332066,0.0011715094403880189,0.0006315143589891714,0.0006315143589891714,0.00017572549899713994,0.000995295399254698,0.0005399950813988474,0.0005399950813988474,0.000995783941390879
85741,20,0.48849865326669273,0.028851812705397606,0.0518215332183257,-4.776574000982402e-05,0.0007654686528212328,0.0006261873164554947,0.000715594993219169,-4.519135917801447e-05,0.0008132343928310568,0.0001392813363657381,4.987365960206381e-05,0.0008106600119992472
85741,24,0.47770800768321897,0.02808026224374771,0.04045171738155313,0.0,0.0005900877153316442,0.0005035759349429255,0.0004859947662278115,-3.986051968977228e-05,0.0005900877153316442,8.651178038871865e-05,0.00010409294910383265,0.0006299482350214165
85741,28,0.46734173284566033,0.02836064249277115,0.039426727609686005,0.000303093834989261,0.000883475189115912,0.0007481452541671683,0.0007787948226586195,0.0003016499538426864,0.000580381354126651,0.00013532993494874376,0.00010468036645729258,0.0005818252352732256
85742,0,5.16191365590357e-08,0.06924660503864288,0.24798574495027972,0.0006934617154218053,0.0028485573998043856,0.0028485573998043856,0.002515574744829228,0.0006894645178836965,0.0021550956843825802,0.0,0.0003329826549751578,0.002159092881920689
85742,4,0.3589951072609127,0.03879506140947342,0.0870525797146461,0.0,0.0016998574224215135,0.001348861983237199,0.0015503221339067304,0.0,0.0016998574224215135,0.00035099543918431456,0.00014953528851478315,0.0016998574224215135
