seed,seed_eligible,exclusion_reason,algorithm,radius_index,step_radius,arm_admissible,hit_capability,steps,moving_fibre_action,wrong_moving_fibre_action,moving_fisher_length,wrong_moving_fisher_length,cumulative_retraction_fisher_length,cumulative_retraction_norm,cumulative_tangent_proposal_norm,cumulative_retraction_to_tangent_ratio,cumulative_pre_retraction_response_error,left_trapezoid_relative_change,wrong_left_trapezoid_relative_change,max_moving_kernel_residual,max_step_principal_angle_rad,max_source_principal_angle_rad,fibre_rotation_signal,max_rowspace_angle_from_source_rad,max_rowspace_projector_distance_normalized,rowspace_rotation_signal,max_response_relative_error,max_retraction_step_ratio,median_discrete_tangent_residual,max_metric_condition,min_metric_effective_rank
73726,True,,adam,0,0.08,True,True,6,0.42614870382647335,0.2344834845764026,0.4460814371705055,0.26895085349678993,0.0020670444185585117,0.005207242938922718,0.3736823536455631,0.013934944714734313,0.0009827303219935857,0.008430200839642224,0.01095092565940114,2.083413974673931e-08,0.06928013265132904,0.1038394421339035,True,0.7026862502098083,0.10042241215705872,True,2.782443857540784e-07,0.019456593729550525,0.01387128233909607,109.32288360595703,8
73726,True,,adam,1,0.04,True,True,12,0.42597949149543257,0.20692682574068808,0.4468069188296795,0.24263108731247485,0.0010237032862449673,0.003195561572056249,0.35078362049534917,0.009109779890930276,0.0004979147148560514,0.0035883050112400674,0.008562309877331427,2.0588005966715173e-08,0.06475324183702469,0.10436541587114334,True,0.6982772946357727,0.09988600015640259,True,2.659344602307101e-07,0.02103417750363808,0.006487199570983648,110.15455627441406,8
73726,True,,adam,2,0.02,True,True,23,0.4241408360472387,0.20462704590228997,0.44528581481426954,0.24049941496923566,0.0007071368186898165,0.002046488916448652,0.33229870861396194,0.006158582213529151,0.0003491466319474057,0.0015883425185162945,0.007396009183852529,2.1921682247239005e-08,0.05990058556199074,0.10425322502851486,True,0.6984129548072815,0.09970156103372574,True,2.755817263278004e-07,0.023058547873871443,0.003860065946355462,110.4417495727539,8
73726,True,,adam,3,0.01,True,True,45,0.42267800519447757,0.20992705474596102,0.44533612043596804,0.248575160629116,0.00038633886629815345,0.001148808959442249,0.32697427039965987,0.0035134536978645523,0.0001917348974984634,0.0008962319442838746,0.0020335255854898,2.299526791205153e-08,0.05991949886083603,0.10484778136014938,True,0.698803722858429,0.0993153303861618,True,3.120426015357225e-07,0.023774450143298126,0.002061427803710103,110.25886535644531,8
73726,True,,normalized_sgd,0,0.08,True,True,6,0.3844924215295538,0.0810796316346444,0.4102639160118997,0.09302746457979083,0.0022706702631256964,0.004643781605409458,0.164896703325212,0.02816176134371174,0.001118510274864093,0.005684028081607513,0.010415239702171598,2.1468157029858048e-08,0.0689651295542717,0.10434196144342422,True,0.7647128105163574,0.1035236120223999,True,4.613929149854812e-07,0.04715476913036689,0.025921481661498547,104.60572052001953,8
73726,True,,normalized_sgd,1,0.04,True,True,11,0.382655091626558,0.08035271734945897,0.4108275123871863,0.09293601557146758,0.0010417473709287029,0.0024302601714225602,0.16483291238546371,0.014743779845006732,0.0005039636228048039,0.0027098449633016827,0.005507743413544248,2.1078324863310627e-08,0.06503450125455856,0.10390611737966537,True,0.7639638185501099,0.10337948799133301,True,2.812343495861569e-07,0.0326885045360143,0.01315197255462408,109.29750061035156,8
73726,True,,normalized_sgd,2,0.02,True,True,21,0.38329684498883426,0.08060346177656462,0.41072922199964523,0.09305072587449104,0.0007992757501605691,0.0018276757227795315,0.1648203912191093,0.011088893244706912,0.00038505575025737926,0.0013785485920930506,0.00295623710685094,2.0233439812500364e-08,0.05904115363955498,0.10393025726079941,True,0.7670487761497498,0.10335765779018402,True,3.2364570756726607e-07,0.04122286354520621,0.0070559014566242695,108.8144760131836,8
73726,True,,normalized_sgd,3,0.01,True,True,42,0.3836458714039023,0.08055094939195896,0.41067920639761724,0.09302131269214442,0.000476030412236668,0.0011813104126758844,0.1648015360115096,0.007168078898205067,0.0002406460624229112,0.0006730029571438383,0.0016171016166465822,2.0922975352277717e-08,0.05530799925327301,0.10394001752138138,True,0.7672117948532104,0.10336226969957352,True,3.009198508152622e-07,0.031884842986461166,0.005306157516315579,109.39631652832031,8
73726,True,,normalized_momentum,0,0.08,True,True,6,0.3843846680802968,0.08103193459086368,0.41018742229789495,0.09298787370789796,0.0022717312877052523,0.004644212041966966,0.16490050172433257,0.028163722932333993,0.0011196776945325837,0.00561612290476776,0.010585320976759401,1.991867293327232e-08,0.0689651295542717,0.1037842184305191,True,0.7647093534469604,0.10339456051588058,True,4.613929149854812e-07,0.04715476913036689,0.02598628867417574,104.60572052001953,8
73726,True,,normalized_momentum,1,0.04,True,True,11,0.3826544116631256,0.08034436939588574,0.41079210257157683,0.09292093594558537,0.0010443938165827405,0.0024343965205844142,0.1648331549949944,0.014768852301943388,0.000505415164752776,0.0027451733954332387,0.005549205594247298,2.1255738502645727e-08,0.06503450125455856,0.1038980707526207,True,0.7639795541763306,0.10337118804454803,True,2.5924944679900364e-07,0.0326885045360143,0.013210859149694443,109.29750061035156,8
73726,True,,normalized_momentum,2,0.02,True,True,21,0.3832583483268624,0.08056445626348631,0.4106705114245415,0.09298849175684154,0.0007988406536906935,0.001822669752073125,0.1648158053867519,0.01105882865903608,0.0003843540125672007,0.0013814009654755791,0.0029218963258305372,2.0476223383525394e-08,0.05897849053144455,0.10390956699848175,True,0.7670465111732483,0.103360116481781,True,2.8930978146490816e-07,0.0413501503289341,0.0070077539421617985,108.81439971923828,8
73726,True,,normalized_momentum,3,0.01,True,True,42,0.3836027741182828,0.0805277055912981,0.41063968621892855,0.09299322556034895,0.00047716869943088423,0.0011829981597202277,0.16479463686118834,0.007178620507636447,0.00024095247081845628,0.0006732894859800664,0.0016381759981073044,2.102426321926032e-08,0.05527348443865776,0.10394404083490372,True,0.7672233581542969,0.10336781293153763,True,2.645865890826826e-07,0.031881045395443904,0.005285215796902776,109.39492797851562,8
73726,True,,sign_gradient,0,0.08,True,True,6,0.4416762541011714,0.3860710323908664,0.4626174755394459,0.4493507295846939,0.0021909866547443102,0.005388985417084768,0.4447012096643448,0.012118216231415945,0.0010197766023338772,0.00768023660023798,0.015415219011587258,1.8603012463813684e-08,0.06929045170545578,0.10512477159500122,True,0.7029807567596436,0.10019105672836304,True,2.695093144211569e-07,0.017970994813952233,0.01223451504483819,109.32310485839844,8
73726,True,,sign_gradient,1,0.04,True,True,12,0.4413597002296344,0.3794189558270215,0.4621349899098277,0.44227078557014465,0.001024191062901471,0.0031545162564725615,0.4468462895601988,0.007059510910513195,0.0005126742571519571,0.0020879925004937214,0.008652548130129311,1.88265847356206e-08,0.06471085548400879,0.10707834362983704,True,0.7667738795280457,0.10349781066179276,True,2.6329502134103677e-07,0.01514280258724914,0.006518934154883027,110.96639251708984,8
73726,True,,sign_gradient,2,0.02,True,True,24,0.44168809458886277,0.3766964973858398,0.46506461105309427,0.4457275331951678,0.0006925386409827383,0.002053212268037896,0.44644100731238723,0.004599067367037827,0.0003419317766031327,0.002094211195592487,0.004546814702948589,2.0514461240850324e-08,0.06025300920009613,0.10698181390762329,True,0.700590193271637,0.09928139299154282,True,2.9831582537553913e-07,0.013523599415672029,0.002507546916604042,110.98816680908203,8
