seed,step,step_fraction,train_loss,gradient_norm,update_norm,capacity_select_loss,actual_full_response_cost,response_rank,row_space_rotation,current_capacity,source_capacity,permuted_capacity,actual_capacity,future_heldout_gain,future_horizon
87841,0,0.0,9.296243667602539,0.5186207890510559,1.919838309288025,10.911905288696289,0.031587302684783936,12,4.712160915387242e-08,0.12095260620117186,0.12095260620117186,0.008822917938232422,0.008806387583414713,1.5807452201843262,6
87841,6,0.25,6.996860027313232,0.45337048172950745,1.6924735307693481,9.87701416015625,0.020051857456564903,12,0.33736905109758,0.14174652099609375,0.09245263205634223,0.009962320327758789,0.009965022404988607,1.8497166633605957,6
87841,12,0.5,4.77876091003418,0.4687008261680603,1.6320101022720337,8.565628051757812,0.011271717958152294,12,0.5335002630592894,0.2030921777089437,0.02801145447625054,0.014234542846679688,0.014234145482381184,1.6443822383880615,6
87841,18,0.75,3.254566192626953,0.17808914184570312,1.4274733066558838,7.007330894470215,0.00551534304395318,12,0.7452149153604246,0.22447299957275388,0.016538712713453505,0.0170344246758355,0.017032980918884277,0.7880716323852539,6
87842,0,0.0,9.296243667602539,0.30461427569389343,1.9198055267333984,10.911905288696289,0.008295691572129726,12,5.372690074837192e-08,0.052336692810058594,0.052336692810058594,0.0036431153615315752,0.0036422411600748696,0.9171919822692871,6
87842,6,0.25,7.518592834472656,0.26003262400627136,1.707382082939148,10.500893592834473,0.006668044254183769,12,0.2901750869525267,0.06299241383870444,0.021954245037502713,0.004286580615573459,0.004303402370876736,0.932464599609375,6
87842,12,0.5,5.989056587219238,0.26557013392448425,1.6106922626495361,10.000229835510254,0.006302758120000362,12,0.5293848797225326,0.10485935211181639,0.014160553614298502,0.007043917973836263,0.007073958714803059,1.07075834274292,6
87842,18,0.75,4.46577262878418,0.27532756328582764,1.5691951513290405,9.345980644226074,0.0061937361024320126,12,0.7127227084793912,0.15148925781249997,0.020418749915228948,0.010201348198784722,0.010222382015652126,1.2182912826538086,6
87843,0,0.0,9.296243667602539,0.34180283546447754,1.9198713302612305,10.911905288696289,0.00903900247067213,12,6.143906154658886e-08,0.1522252559661865,0.1522252559661865,0.011359824074639214,0.01136901643541124,1.1509885787963867,6
87843,6,0.25,7.359771728515625,0.29618746042251587,1.6986550092697144,10.4468994140625,0.007050459273159504,12,0.49691387399379505,0.15383052825927734,0.08412138621012369,0.010847409566243488,0.010837078094482422,1.2378191947937012,6
87843,12,0.5,5.545267105102539,0.3278864026069641,1.6261208057403564,9.933490753173828,0.006605097558349371,12,0.9239243501044062,0.18653909365336097,0.025957822799682614,0.01314433415730794,0.013128863440619571,1.387671947479248,6
87843,18,0.75,3.787466526031494,0.2729416787624359,1.5715028047561646,9.267178535461426,0.0062667811289429665,12,1.1487764148945951,0.2144819100697835,0.029951254526774083,0.015174455112881131,0.015164573987325031,1.1135945320129395,6
87844,0,0.0,9.296243667602539,0.480209082365036,1.9198391437530518,10.911905288696289,0.019790319725871086,12,3.6500241499888574e-08,0.1581878662109375,0.1581878662109375,0.011194679472181533,0.011221249898274738,1.4103097915649414,6
87844,6,0.25,6.97065544128418,0.3716963827610016,1.6945433616638184,9.209668159484863,0.01774481125175953,12,0.24108994517063553,0.16145801544189453,0.08853753407796223,0.011193805270724826,0.011196057001749672,1.6172242164611816,6
87844,12,0.5,4.984081268310547,0.37595611810684204,1.6199454069137573,7.573573112487793,0.015609678812325,12,0.4171440402276803,0.21782588958740232,0.07545730802747938,0.014909929699367944,0.01493128140767415,1.871023416519165,6
87844,18,0.75,3.2676005363464355,0.22212721407413483,1.5145797729492188,6.150269985198975,0.014917072840034962,12,0.5760682082215107,0.2740035057067871,0.07642446623908149,0.0192086034350925,0.019233544667561848,1.317615270614624,6
87845,0,0.0,9.296243667602539,0.2793375849723816,1.9198267459869385,10.911905288696289,0.00890301913022995,12,5.16191365590357e-08,0.1374224026997884,0.1374224026997884,0.009343836042616103,0.009364578458997937,0.7600278854370117,6
87845,6,0.25,7.592729568481445,0.2652991712093353,1.7647404670715332,10.166337013244629,0.008880379609763622,12,0.3555599040563996,0.1731902758280436,0.048000865512424044,0.011931419372558592,0.011907948387993706,0.943962574005127,6
87845,12,0.5,5.908514976501465,0.30016443133354187,1.7131567001342773,9.21264934539795,0.009528987109661102,12,0.7519257210490098,0.21936231189303926,0.033413834042019315,0.016533798641628687,0.016563812891642254,1.2722768783569336,6
87845,18,0.75,4.122319221496582,0.29634910821914673,1.6839078664779663,7.999580383300781,0.009367065504193306,12,1.0624691023559167,0.2259600559870402,0.01684741179148356,0.016747408443027068,0.01674928930070665,1.5147950649261475,6
87846,0,0.0,9.296243667602539,0.3861917555332184,1.9198216199874878,10.911905288696289,0.017236484214663506,12,4.712160915387242e-08,0.10077857971191406,0.10077857971191406,0.007264004813300238,0.007249461279975044,1.131192684173584,6
