seed,step,row_space_rotation,response_rank,update_norm,actual_full_response_cost,actual_heldout_auc,current_kernel_heldout_auc,source_kernel_heldout_auc,far_time_kernel_heldout_auc,permuted_kernel_heldout_auc,current_minus_actual_auc,current_minus_source_kernel_auc,current_minus_far_time_kernel_auc,current_minus_permuted_kernel_auc
86841,0,3.6500241499888574e-08,12,1.9198657274246216,0.015200424939393997,0.013339943355984155,0.18738269805908203,0.18738269805908203,0.09638256496853298,0.013358195622762043,0.17404275470309788,0.0,0.09100013309054905,0.17402450243631998
86841,6,0.29933836652585233,12,1.7393823862075806,0.012106665410101414,0.013860940933227537,0.19929218292236328,0.11069483227199978,0.08101314968532985,0.013869894875420462,0.18543124198913574,0.0885973506503635,0.11827903323703343,0.18542228804694283
86841,12,0.5092137302454435,12,1.6618036031723022,0.010507981292903423,0.017250246471828882,0.24890136718749997,0.06901567512088351,0.06901567512088351,0.01723456382751465,0.2316511207156711,0.17988569206661648,0.17988569206661648,0.23166680335998532
86841,18,0.64553603634231,12,1.6072163581848145,0.01010082010179758,0.017886506186591253,0.25169372558593744,0.03570114241706,0.07103366321987577,0.017892042795817055,0.23380721939934618,0.21599258316887743,0.1806600623660617,0.2338016827901204
86842,0,2.9802322387695312e-08,12,1.9198722839355469,0.014821233227849007,0.015210734473334415,0.21172523498535156,0.21172523498535156,0.058624876870049365,0.01519555515713162,0.19651450051201716,0.0,0.1531003581153022,0.19652967982821995
86842,6,0.3162385414138706,12,1.7131671905517578,0.010951214469969273,0.01153829362657335,0.16328032811482746,0.05774458249409994,0.05689928266737196,0.011482106314765083,0.1517420344882541,0.10553574562072751,0.1063810454474555,0.15179822180006236
86842,12,0.5692840998354356,12,1.6065709590911865,0.008800559677183628,0.011660310957166884,0.16912126541137695,0.04653467072380913,0.04653467072380913,0.011659052636888292,0.15746095445421007,0.12258659468756783,0.12258659468756783,0.15746221277448866
86842,18,0.7368504188738618,12,1.410803198814392,0.008262746036052704,0.008723841773139106,0.12384986877441405,0.03456503815121121,0.043491005897521966,0.008707139227125378,0.11512602700127494,0.08928483062320283,0.08035886287689209,0.11514272954728867
86843,0,5.960464477539064e-08,12,1.9198896884918213,0.011027022264897823,-0.00016307830810546875,0.0005216598510742188,0.0005216598510742188,0.00048385726081000437,-0.00015679995218912757,0.0006847381591796875,0.0,3.780259026421438e-05,0.0006784598032633463
86843,6,0.3651584332260443,12,1.7284210920333862,0.012155894190073013,0.0004942946963840061,0.011256217956542967,0.007072819603814019,0.0036506123012966575,0.00048666530185275606,0.010761923260158962,0.004183398352728948,0.00760560565524631,0.010769552654690212
86843,12,0.6283732538479365,12,1.6774723529815674,0.011428163386881351,0.002466175291273329,0.040856361389160156,0.010657628377278645,0.010657628377278645,0.0024916595882839626,0.03839018609788683,0.03019873301188151,0.03019873301188151,0.03836470180087619
86843,18,0.7868986493864736,12,1.6622620820999146,0.0098729208111763,0.006446282068888347,0.10047721862792969,0.013085206349690754,0.02655273013644748,0.006439606348673501,0.09403093655904134,0.08739201227823894,0.07392448849148221,0.09403761227925618
86844,0,4.4703483581542975e-08,12,1.9198414087295532,0.012755672447383404,0.003697845670912,0.05376815795898437,0.05376815795898437,0.018362892998589408,0.0036851035224066834,0.05007031228807237,0.0,0.035405264960394964,0.050083054436577686
86844,6,0.2918693009587883,12,1.7213433980941772,0.00929277390241623,0.0037465625339084202,0.05450725555419921,0.018927256266276043,0.01449192894829644,0.003725210825602213,0.05076069302029079,0.03557999928792317,0.04001532660590277,0.050782044728597
86844,12,0.5478256900850333,12,1.6273280382156372,0.007311157416552305,0.0035025013817681205,0.04919282595316569,0.00706519020928277,0.00706519020928277,0.003505256440904405,0.045690324571397566,0.04212763574388292,0.04212763574388292,0.045687569512261286
86844,18,0.7685986423911875,12,1.5628522634506226,0.006919616833329201,0.004486401875813802,0.0643310546875,0.00898660553826226,0.009037229749891493,0.004503700468275282,0.059844652811686196,0.05534444914923774,0.05529382493760851,0.05982735421922472
86845,0,1.4901161193847656e-08,12,1.9198707342147827,0.017666926607489586,0.014132181803385416,0.1889848709106445,0.1889848709106445,0.12280355559455022,0.014115280575222438,0.1748526891072591,0.0,0.06618131531609428,0.17486959033542207
86845,6,0.3368846930895571,12,1.6754144430160522,0.01634220965206623,0.008510324690077039,0.11858367919921875,0.07874221271938747,0.06403787930806476,0.008532550599839952,0.11007335450914171,0.03984146647983128,0.05454579989115399,0.1100511285993788
86845,12,0.5662370855755458,12,1.5602443218231201,0.013899246230721474,0.009089483155144585,0.1314530372619629,0.036410106552971735,0.036410106552971735,0.00908611880408393,0.1223635541068183,0.09504293070899116,0.09504293070899116,0.12236691845787896
86845,18,0.720358151791663,12,1.369140386581421,0.012812762521207333,0.009501073095533582,0.13723039627075195,0.03779693444569906,0.0476100312338935,0.009502357906765409,0.12772932317521837,0.09943346182505289,0.08962036503685845,0.12772803836398655
86846,0,3.332000937312528e-08,12,1.9198399782180786,0.011145705357193947,0.0017145209842258028,0.024245262145996094,0.024245262145996094,0.006852573818630642,0.0017027060190836587,0.02253074116177029,0.0,0.01739268832736545,0.022542556126912434
86846,6,0.39044019575836597,12,1.6903225183486938,0.008455494418740273,0.0023736953735351562,0.03503704071044922,0.016548951466878254,0.009397665659586588,0.002354145050048828,0.03266334533691406,0.018488089243570965,0.025639375050862633,0.03268289566040039
86846,12,0.6030599932526804,12,1.605503797531128,0.00717100640758872,0.0032757388220893005,0.048557281494140625,0.013078583611382377,0.013078583611382377,0.0032703081766764317,0.045281542672051325,0.035478697882758245,0.035478697882758245,0.045286973317464195
86846,18,0.7872905039846744,12,1.5738537311553955,0.006575500126928091,0.004927184846666125,0.07128707567850748,0.009841521581013996,0.019542773564656574,0.0049173302120632595,0.06635989083184135,0.061445554097493485,0.05174430211385091,0.06636974546644422
86847,0,3.332000937312528e-08,12,1.9198060035705566,0.026364978402853012,0.0062800248463948565,0.09150505065917967,0.09150505065917967,0.02420568466186523,0.006255070368448893,0.08522502581278482,0.0,0.06729936599731444,0.08524998029073078
86847,6,0.3322117166855723,12,1.718464970588684,0.018169596791267395,0.004893514845106337,0.07062625885009766,0.03968471950954861,0.03675675392150879,0.004893461863199869,0.06573274400499132,0.030941539340549044,0.03386950492858887,0.06573279698689778
86847,12,0.605775663717276,12,1.640621542930603,0.014827246777713299,0.0043183167775472,0.06198310852050781,0.022076739205254447,0.022076739205254447,0.00431513786315918,0.05766479174296061,0.03990636931525336,0.03990636931525336,0.05766797065734863
86847,18,0.7949089110186887,12,1.5763835906982422,0.013458275236189365,0.005590822961595323,0.07899999618530272,0.011341598298814561,0.022429413265652124,0.00558230612013075,0.0734091732237074,0.06765839788648816,0.0565705829196506,0.07341769006517197
86848,0,5.575503985246929e-08,12,1.919930338859558,0.03810007497668266,0.01605105400085449,0.22163009643554685,0.22163009643554685,0.0771838559044732,0.016011979844835066,0.20557904243469236,0.0,0.14444624053107363,0.20561811659071177
