anchor_count,candidate_seeds,total_seeds,true_loss_delta_median,anti_loss_delta_median,shuffled_loss_delta_median,random_best_loss_delta_median,projected_gradient_share_median,max_true_kernel_relative_residual,max_true_response_leakage
4,16,16,-0.027049294381540745,0.037233761333967,-0.0004475890782567604,-0.0009662187862702343,0.4528036249964117,3.700006850997025e-14,5.417888360170764e-14
16,16,16,-0.018417274421773433,0.02306898642394095,-0.0009930393612803123,-0.0007169502431279562,0.3382684052275218,2.274268670856923e-13,2.9753977059954195e-13
32,16,16,-0.014497039464377859,0.017125975649257608,-0.0007521831810621271,-0.0006673396823618227,0.28176356282411624,4.2157314366302076e-13,5.03597163969971e-13
