fit,omitted_radius,comparable_seeds,moving_alpha_median,fixed_alpha_median,median_separation,moving_shift_from_full,fixed_shift_from_full
all_four,,15,0.6837955253545591,0.007149019728119192,0.6766465056264399,0.0,0.0
omit_0.08,0.08,15,0.6878017201886469,0.004444057964894215,0.6833576622237527,0.004006194834087817,-0.002704961763224977
omit_0.04,0.04,15,0.6769079375297827,0.007011408253777178,0.6698965292760055,-0.006887587824776387,-0.00013761147434201374
omit_0.02,0.02,15,0.6873878103281212,0.0067266257268038315,0.6806611846013174,0.003592284973562121,-0.00042239400131536056
omit_0.01,0.01,15,0.6360918220933305,0.00879909829412578,0.6272927237992048,-0.047703703261228636,0.0016500785660065872
